title,authors,subject
Design-OS: A Specification-Driven Framework for Engineering System Design with a Control-Systems Design Case,"['H. Sinan Bank', 'Daniel R. Herber', 'Thomas H. Bradley']","Computational Engineering, Finance, and Science (cs.CE)"
Enhancing Hyperspace Analogue to Language (HAL) Representations via Attention-Based Pooling for Text Classification,"['Ali Sakour', 'Zoalfekar Sakour']",Computation and Language (cs.CL)
An Agentic Multi-Agent Architecture for Cybersecurity Risk Management,"['Ravish Gupta', 'Saket Kumar', 'Shreeya Sharma', 'Maulik Dang', 'Abhishek Aggarwal']",Systems and Control (eess.SY)
Evolving Jailbreaks: Automated Multi-Objective Long-Tail Attacks on Large Language Models,"['Wenjing Hong', 'Zhonghua Rong', 'Li Wang', 'Feng Chang', 'Jian Zhu', 'Ke Tang', 'Zexuan Zhu', 'Yew-Soon Ong']",Cryptography and Security (cs.CR)
Chain-of-Adaptation: Surgical Vision-Language Adaptation with Reinforcement Learning,"['Jiajie Li', 'Chenhui Xu', 'Meihuan Liu', 'Jinjun Xiong']",Computer Vision and Pattern Recognition (cs.CV)
Demonstration of Adapt4Me: An Uncertainty-Aware Authoring Environment for Personalizing Automatic Speech Recognition to Non-normative Speech,"['Niclas Pokel', 'Yiming Zhao', 'Pehuén Moure', 'Yingqiang Gao', 'Roman Böhringer']",Human-Computer Interaction (cs.HC)
Var-JEPA: A Variational Formulation of the Joint-Embedding Predictive Architecture -- Bridging Predictive and Generative Self-Supervised Learning,"['Moritz Gögl', 'Christopher Yau']",Machine Learning (cs.LG)
The $\mathbf{Y}$-Combinator for LLMs: Solving Long-Context Rot with $λ$-Calculus,"['Amartya Roy', 'Rasul Tutunov', 'Xiaotong Ji', 'Matthieu Zimmer', 'Haitham Bou-Ammar']",Machine Learning (cs.LG)
Spectral Alignment in Forward-Backward Representations via Temporal Abstraction,"['Seyed Mahdi B. Azad', 'Jasper Hoffmann', 'Iman Nematollahi', 'Hao Zhu', 'Abhinav Valada', 'Joschka Boedecker']",Machine Learning (cs.LG)
An Empirical Study of SFT-DPO Interaction and Parameterization in Small Language Models,"['Yuming Feng', 'Christy Yang']",Computation and Language (cs.CL)
LLM-Enhanced Semantic Data Integration of Electronic Component Qualifications in the Aerospace Domain,"['Antonio De Santis', 'Marco Balduini', 'Matteo Belcao', 'Andrea Proia', 'Marco Brambilla', 'Emanuele Della Valle']",Information Retrieval (cs.IR)
Agentic Harness for Real-World Compilers,"['Yingwei Zheng', 'Cong Li', 'Shaohua Li', 'Yuqun Zhang', 'Zhendong Su']",Software Engineering (cs.SE)
Fine-tuning Timeseries Predictors Using Reinforcement Learning,"['Hugo Cazaux', 'Ralph Rudd', 'Hlynur Stefánsson', 'Sverrir Ólafsson', 'Eyjólfur Ingi Ásgeirsson']",Machine Learning (cs.LG)
The End of Rented Discovery: How AI Search Redistributes Power Between Hotels and Intermediaries,"['Peiying Zhu', 'Sidi Chang']",Information Retrieval (cs.IR)
LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families,"['Jianan Chen', 'Xiaoxue Gao', 'Tatsuya Kawahara', 'Nancy F. Chen']",Computation and Language (cs.CL)
CoverageBench: Evaluating Information Coverage across Tasks and Domains,"['Saron Samuel', 'Andrew Yates', 'Dawn Lawrie', 'Ian Soboroff', 'Trevor Adriaanse', 'Benjamin Van Durme', 'Eugene Yang']",Information Retrieval (cs.IR)
Orchestrating Human-AI Software Delivery: A Retrospective Longitudinal Field Study of Three Software Modernization Programs,"['Maximiliano Armesto', 'Christophe Kolb']",Software Engineering (cs.SE)
Detached Skip-Links and $R$-Probe: Decoupling Feature Aggregation from Gradient Propagation for MLLM OCR,"['Ziye Yuan', 'Ruchang Yao', 'Chengxin Zheng', 'Yusheng Zhao', 'Daxiang Dong', 'Ming Zhang']",Computer Vision and Pattern Recognition (cs.CV)
Physics-Informed Long-Range Coulomb Correction for Machine-learning Hamiltonians,"['Yang Zhong', 'Xiwen Li', 'Xingao Gong', 'Hongjun Xiang']",Computational Physics (physics.comp-ph)
Breaking the Capability Ceiling of LLM Post-Training by Reintroducing Markov States,"['Yurun Yuan', 'Tengyang Xie']",Machine Learning (cs.LG)
X-World: Controllable Ego-Centric Multi-Camera World Models for Scalable End-to-End Driving,"['Chaoda Zheng', 'Sean Li', 'Jinhao Deng', 'Zhennan Wang', 'Shijia Chen', 'Liqiang Xiao', 'Ziheng Chi', 'Hongbin Lin', 'Kangjie Chen', 'Boyang Wang', 'Yu Zhang', 'Xianming Liu']",Computer Vision and Pattern Recognition (cs.CV)
Promoting Critical Thinking With Domain-Specific Generative AI Provocations,"['Thomas Şerban von Davier', 'Hao-Ping Lee', 'Jodi Forlizzi', 'Sauvik Das']",Human-Computer Interaction (cs.HC)
Trojan's Whisper: Stealthy Manipulation of OpenClaw through Injected Bootstrapped Guidance,"['Fazhong Liu', 'Zhuoyan Chen', 'Tu Lan', 'Haozhen Tan', 'Zhenyu Xu', 'Xiang Li', 'Guoxing Chen', 'Yan Meng', 'Haojin Zhu']",Cryptography and Security (cs.CR)
